Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki FRONX,Zeta Turbo AT,Petrol,Gurgaon,"11,95,500","87,931","62,281",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo AT,Petrol,Gurgaon,"12,87,500","94,555","66,293",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT AT,Petrol  Top Model,Gurgaon,"13,03,500","95,707","66,891",N/A
Maruti,Maruti Suzuki FRONX,Sigma,Petrol  Base Model,Faridabad,"7,51,500","61,975","48,404",N/A
Maruti,Maruti Suzuki FRONX,Sigma CNG,CNG  Base Model,Faridabad,"8,46,500","56,031","53,410",N/A
Maruti,Maruti Suzuki FRONX,Delta,Petrol,Faridabad,"8,37,500","68,855","52,199",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus,Petrol,Faridabad,"8,77,500","72,055","54,785",N/A
Maruti,Maruti Suzuki FRONX,Delta AMT,Petrol,Faridabad,"8,82,500","72,455","54,891",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt,Petrol,Faridabad,"8,93,000","73,295","55,785",N/A
Maruti,Maruti Suzuki FRONX,Delta CNG,CNG  Top Model,Faridabad,"9,32,500","61,535","56,604",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus AMT,Petrol,Faridabad,"9,22,500","75,655","56,604",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt AMT,Petrol,Faridabad,"9,38,000","76,895","57,604",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Turbo,Petrol,Faridabad,"9,72,500","71,875","52,125",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo,Petrol,Faridabad,"10,55,500","77,851","55,744",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo,Petrol,Faridabad,"11,47,500","84,475","58,840",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT,Petrol,Faridabad,"11,63,500","85,627","59,451",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo AT,Petrol,Faridabad,"11,95,500","87,931","62,281",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo AT,Petrol,Faridabad,"12,87,500","94,555","66,293",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT AT,Petrol  Top Model,Faridabad,"13,03,500","95,707","66,891",N/A
Maruti,Maruti Suzuki FRONX,Sigma,Petrol  Base Model,Bahadurgarh,"7,51,500","60,120","39,637",N/A
Maruti,Maruti Suzuki FRONX,Delta,Petrol,Bahadurgarh,"8,37,500","67,000","42,713",N/A
Maruti,Maruti Suzuki FRONX,Sigma CNG,CNG  Base Model,Bahadurgarh,"8,46,500","67,720","43,035",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus,Petrol,Bahadurgarh,"8,77,500","70,200","44,144",N/A
Maruti,Maruti Suzuki FRONX,Delta AMT,Petrol,Bahadurgarh,"8,82,500","70,600","44,323",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt,Petrol,Bahadurgarh,"8,93,000","71,440","44,698",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus AMT,Petrol,Bahadurgarh,"9,22,500","73,800","45,754",N/A
Maruti,Maruti Suzuki FRONX,Delta CNG,CNG  Top Model,Bahadurgarh,"9,32,500","74,600","46,111",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt AMT,Petrol,Bahadurgarh,"9,38,000","75,040","46,308",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Turbo,Petrol,Bahadurgarh,"9,72,500","77,800","41,025",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo,Petrol,Bahadurgarh,"10,55,500","84,440","43,852",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo,Petrol,Bahadurgarh,"11,47,500","91,800","46,986",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT,Petrol,Bahadurgarh,"11,63,500","93,080","47,531",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo AT,Petrol,Bahadurgarh,"11,95,500","95,640","48,622",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo AT,Petrol,Bahadurgarh,"12,87,500","1,03,000","51,756",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT AT,Petrol  Top Model,Bahadurgarh,"13,03,500","1,04,280","52,301",N/A
Maruti,Maruti Suzuki FRONX,Sigma,Petrol  Base Model,Greater Noida,"7,51,500","60,120","39,637",N/A
Maruti,Maruti Suzuki FRONX,Delta,Petrol,Greater Noida,"8,37,500","67,000","42,713",N/A
Maruti,Maruti Suzuki FRONX,Sigma CNG,CNG  Base Model,Greater Noida,"8,46,500","67,720","43,035",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus,Petrol,Greater Noida,"8,77,500","70,200","44,144",N/A
Maruti,Maruti Suzuki FRONX,Delta AMT,Petrol,Greater Noida,"8,82,500","70,600","44,323",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt,Petrol,Greater Noida,"8,93,000","71,440","44,698",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus AMT,Petrol,Greater Noida,"9,22,500","73,800","45,754",N/A
Maruti,Maruti Suzuki FRONX,Delta CNG,CNG  Top Model,Greater Noida,"9,32,500","74,600","46,111",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt AMT,Petrol,Greater Noida,"9,38,000","75,040","46,308",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Turbo,Petrol,Greater Noida,"9,72,500","77,800","41,025",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo,Petrol,Greater Noida,"10,55,500","1,05,550","43,852",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo,Petrol,Greater Noida,"11,47,500","1,14,750","46,986",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT,Petrol,Greater Noida,"11,63,500","1,16,350","47,531",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo AT,Petrol,Greater Noida,"11,95,500","1,19,550","48,622",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo AT,Petrol,Greater Noida,"12,87,500","1,28,750","51,756",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT AT,Petrol  Top Model,Greater Noida,"13,03,500","1,30,350","52,301",N/A
Maruti,Maruti Suzuki FRONX,Sigma,Petrol  Base Model,Sonipat,"7,51,500","60,120","39,637",N/A
Maruti,Maruti Suzuki FRONX,Delta,Petrol,Sonipat,"8,37,500","67,000","42,713",N/A
Maruti,Maruti Suzuki FRONX,Sigma CNG,CNG  Base Model,Sonipat,"8,46,500","67,720","43,035",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus,Petrol,Sonipat,"8,77,500","70,200","44,144",N/A
Maruti,Maruti Suzuki FRONX,Delta AMT,Petrol,Sonipat,"8,82,500","70,600","44,323",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt,Petrol,Sonipat,"8,93,000","71,440","44,698",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus AMT,Petrol,Sonipat,"9,22,500","73,800","45,754",N/A
Maruti,Maruti Suzuki FRONX,Delta CNG,CNG  Top Model,Sonipat,"9,32,500","74,600","46,111",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt AMT,Petrol,Sonipat,"9,38,000","75,040","46,308",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Turbo,Petrol,Sonipat,"9,72,500","77,800","41,025",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo,Petrol,Sonipat,"10,55,500","84,440","43,852",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo,Petrol,Sonipat,"11,47,500","91,800","46,986",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT,Petrol,Sonipat,"11,63,500","93,080","47,531",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo AT,Petrol,Sonipat,"11,95,500","95,640","48,622",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo AT,Petrol,Sonipat,"12,87,500","1,03,000","51,756",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT AT,Petrol  Top Model,Sonipat,"13,03,500","1,04,280","52,301",N/A
Maruti,Maruti Suzuki FRONX,Sigma,Petrol  Base Model,Manesar,"7,51,500","60,120","39,637",N/A
Maruti,Maruti Suzuki FRONX,Delta,Petrol,Manesar,"8,37,500","67,000","42,713",N/A
Maruti,Maruti Suzuki FRONX,Sigma CNG,CNG  Base Model,Manesar,"8,46,500","67,720","43,035",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus,Petrol,Manesar,"8,77,500","70,200","44,144",N/A
Maruti,Maruti Suzuki FRONX,Delta AMT,Petrol,Manesar,"8,82,500","70,600","44,323",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt,Petrol,Manesar,"8,93,000","71,440","44,698",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus AMT,Petrol,Manesar,"9,22,500","73,800","45,754",N/A
Maruti,Maruti Suzuki FRONX,Delta CNG,CNG  Top Model,Manesar,"9,32,500","74,600","46,111",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt AMT,Petrol,Manesar,"9,38,000","75,040","46,308",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Turbo,Petrol,Manesar,"9,72,500","77,800","41,025",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo,Petrol,Manesar,"10,55,500","84,440","43,852",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo,Petrol,Manesar,"11,47,500","91,800","46,986",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT,Petrol,Manesar,"11,63,500","93,080","47,531",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo AT,Petrol,Manesar,"11,95,500","95,640","48,622",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo AT,Petrol,Manesar,"12,87,500","1,03,000","51,756",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT AT,Petrol  Top Model,Manesar,"13,03,500","1,04,280","52,301",N/A
Maruti,Maruti Suzuki FRONX,Sigma,Petrol  Base Model,Sohna,"7,51,500","60,120","39,637",N/A
Maruti,Maruti Suzuki FRONX,Delta,Petrol,Sohna,"8,37,500","67,000","42,713",N/A
Maruti,Maruti Suzuki FRONX,Sigma CNG,CNG  Base Model,Sohna,"8,46,500","67,720","43,035",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus,Petrol,Sohna,"8,77,500","70,200","44,144",N/A
Maruti,Maruti Suzuki FRONX,Delta AMT,Petrol,Sohna,"8,82,500","70,600","44,323",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt,Petrol,Sohna,"8,93,000","71,440","44,698",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus AMT,Petrol,Sohna,"9,22,500","73,800","45,754",N/A
Maruti,Maruti Suzuki FRONX,Delta CNG,CNG  Top Model,Sohna,"9,32,500","74,600","46,111",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt AMT,Petrol,Sohna,"9,38,000","75,040","46,308",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Turbo,Petrol,Sohna,"9,72,500","77,800","41,025",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo,Petrol,Sohna,"10,55,500","84,440","43,852",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo,Petrol,Sohna,"11,47,500","91,800","46,986",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT,Petrol,Sohna,"11,63,500","93,080","47,531",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo AT,Petrol,Sohna,"11,95,500","95,640","48,622",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo AT,Petrol,Sohna,"12,87,500","1,03,000","51,756",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT AT,Petrol  Top Model,Sohna,"13,03,500","1,04,280","52,301",N/A
Maruti,Maruti Suzuki FRONX,Sigma,Petrol  Base Model,Palwal,"7,52,003","60,160","39,655",N/A
Maruti,Maruti Suzuki FRONX,Delta,Petrol,Palwal,"8,38,003","67,040","42,731",N/A
Maruti,Maruti Suzuki FRONX,Sigma CNG,CNG  Base Model,Palwal,"8,47,003","67,760","43,053",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus,Petrol,Palwal,"8,78,003","70,240","44,162",N/A
Maruti,Maruti Suzuki FRONX,Delta AMT,Petrol,Palwal,"8,83,003","70,640","44,341",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt,Petrol,Palwal,"8,93,503","71,480","44,716",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus AMT,Petrol,Palwal,"9,23,003","73,840","45,772",N/A
Maruti,Maruti Suzuki FRONX,Delta CNG,CNG  Top Model,Palwal,"9,33,003","74,640","46,129",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Opt AMT,Petrol,Palwal,"9,38,503","75,080","46,326",N/A
Maruti,Maruti Suzuki FRONX,Delta Plus Turbo,Petrol,Palwal,"9,73,003","77,840","41,042",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo,Petrol,Palwal,"10,56,003","84,480","43,869",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo,Petrol,Palwal,"11,48,003","91,840","47,004",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT,Petrol,Palwal,"11,64,003","93,120","47,549",N/A
Maruti,Maruti Suzuki FRONX,Zeta Turbo AT,Petrol,Palwal,"11,96,003","95,680","48,639",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo AT,Petrol,Palwal,"12,88,003","1,03,040","51,773",N/A
Maruti,Maruti Suzuki FRONX,Alpha Turbo DT AT,Petrol  Top Model,Palwal,"13,04,003","1,04,320","52,318",N/A
Maruti,Maruti Suzuki FRONX,Sigma,Petrol  Base Model,Bangalore,"7,51,500","1,16,783","25,706",N/A
Maruti,Maruti Suzuki FRONX,Delta,Petrol,Bangalore,"8,37,500","1,30,148","27,000",N/A
