Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki Brezza,Lxi CNG,CNG  Base Model,Faridabad,"9,29,000","76,005","24,906",N/A
Maruti,Maruti Suzuki Brezza,Vxi,Petrol,Faridabad,"9,69,500","79,245","25,391",N/A
Maruti,Maruti Suzuki Brezza,Vxi CNG,CNG,Faridabad,"10,64,500","86,845","26,526",N/A
Maruti,Maruti Suzuki Brezza,Vxi AT,Petrol,Faridabad,"11,09,500","90,445","27,066",N/A
Maruti,Maruti Suzuki Brezza,Zxi,Petrol,Faridabad,"11,14,500","90,845","37,134",N/A
Maruti,Maruti Suzuki Brezza,Zxi DT,Petrol,Faridabad,"11,30,500","92,125","27,316",N/A
Maruti,Maruti Suzuki Brezza,Zxi CNG,CNG,Faridabad,"12,09,500","98,445","28,261",N/A
Maruti,Maruti Suzuki Brezza,Zxi CNG DT,CNG  Top Model,Faridabad,"12,25,499","99,725","28,453",N/A
Maruti,Maruti Suzuki Brezza,Zxi AT,Petrol,Faridabad,"12,54,500","1,02,045","28,800",N/A
Maruti,Maruti Suzuki Brezza,Zxi Plus,Petrol,Faridabad,"12,58,000","1,02,325","28,843",N/A
Maruti,Maruti Suzuki Brezza,Zxi AT DT,Petrol,Faridabad,"12,70,500","1,03,325","28,990",N/A
Maruti,Maruti Suzuki Brezza,Zxi Plus DT,Petrol,Faridabad,"12,74,000","1,03,605","29,033",N/A
Maruti,Maruti Suzuki Brezza,Zxi Plus AT,Petrol,Faridabad,"13,98,000","1,13,525","30,517",N/A
Maruti,Maruti Suzuki Brezza,Zxi Plus AT DT,Petrol  Top Model,Faridabad,"14,14,000","1,14,805","30,707",N/A
Maruti,Maruti Suzuki Brezza,Lxi,Petrol  Base Model,Bahadurgarh,"8,33,710","66,696","42,577",N/A
Maruti,Maruti Suzuki Brezza,Lxi CNG,CNG  Base Model,Bahadurgarh,"9,28,710","74,296","45,976",N/A
Maruti,Maruti Suzuki Brezza,Vxi,Petrol,Bahadurgarh,"9,69,210","77,536","47,424",N/A
Maruti,Maruti Suzuki Brezza,Vxi CNG,CNG,Bahadurgarh,"10,64,210","85,136","50,823",N/A
Maruti,Maruti Suzuki Brezza,Vxi AT,Petrol,Bahadurgarh,"11,09,210","88,736","52,432",N/A
Maruti,Maruti Suzuki Brezza,Zxi,Petrol,Bahadurgarh,"11,14,210","89,136","52,611",N/A
Maruti,Maruti Suzuki Brezza,Zxi DT,Petrol,Bahadurgarh,"11,30,210","90,416","53,184",N/A
Maruti,Maruti Suzuki Brezza,Zxi CNG,CNG,Bahadurgarh,"12,09,210","96,736","56,009",N/A
Maruti,Maruti Suzuki Brezza,Zxi CNG DT,CNG  Top Model,Bahadurgarh,"12,25,210","98,016","56,582",N/A
Maruti,Maruti Suzuki Brezza,Zxi AT,Petrol,Bahadurgarh,"12,54,210","1,00,336","57,619",N/A
Maruti,Maruti Suzuki Brezza,Zxi Plus,Petrol,Bahadurgarh,"12,57,710","1,00,616","57,744",N/A
Maruti,Maruti Suzuki Brezza,Zxi AT DT,Petrol,Bahadurgarh,"12,70,210","1,01,616","58,192",N/A
Maruti,Maruti Suzuki Brezza,Zxi Plus DT,Petrol,Bahadurgarh,"12,73,710","1,01,896","58,317",N/A
Maruti,Maruti Suzuki Brezza,Zxi Plus AT,Petrol,Bahadurgarh,"13,97,710","1,11,816","62,752",N/A
Maruti,Maruti Suzuki Brezza,Zxi Plus AT DT,Petrol  Top Model,Bahadurgarh,"14,13,710","1,13,096","63,325",N/A
Maruti,Maruti Suzuki Brezza,Lxi,Petrol  Base Model,Kundli,"8,33,710","66,696","42,577",N/A
Maruti,Maruti Suzuki Brezza,Lxi CNG,CNG  Base Model,Kundli,"9,28,710","74,296","45,976",N/A
Maruti,Maruti Suzuki Brezza,Vxi,Petrol,Kundli,"9,69,210","77,536","47,424",N/A
Maruti,Maruti Suzuki Brezza,Vxi CNG,CNG,Kundli,"10,64,210","85,136","50,823",N/A
Maruti,Maruti Suzuki Brezza,Vxi AT,Petrol,Kundli,"11,09,210","88,736","52,432",N/A
Maruti,Maruti Suzuki Brezza,Zxi,Petrol,Kundli,"11,14,210","89,136","52,611",N/A
