Brand,Model,Price,ARAI Mileage,Engine Displacement,Cylinders,Max Power,Max Torque,Seating Capacity,Transmission Type,Boot Space,Fuel Tank Capacity,Body Type,Ground Clearance,Key Features
,Maruti Dzire Specifications,Rs. 6.79 - 10.14 Lakh*,25.71 kmpl,1197 cc,3,80bhp@5700rpm,111.7Nm@4300rpm,5,Automatic,382  Litres,37 Litres,Sedan,163 mm,Power Steering; Anti-lock Braking System (ABS); Air Conditioner; Driver Airbag; Passenger Airbag; Automatic Climate Control; Alloy Wheels; Multi-function Steering Wheel; Engine Start Stop Button
,Maruti Swift Specifications,Rs. 6.49 - 9.59 Lakh*,25.75 kmpl,1197 cc,3,80.46bhp@5700rpm,111.7Nm@4300rpm,5,Automatic,265  Litres,37 Litres,Hatchback,163 mm,Power Steering; Power Windows Front; Anti-lock Braking System (ABS); Air Conditioner; Driver Airbag; Passenger Airbag; Automatic Climate Control; Alloy Wheels; Multi-function Steering Wheel
,Tata Punch Specifications,Rs. 6 - 10.15 Lakh*,18.8 kmpl,1199 cc,3,87bhp@6000rpm,115Nm@3150-3350rpm,5,Automatic,366  Litres,37 Litres,SUV,187 mm,Power Steering; Power Windows Front; Anti-lock Braking System (ABS); Air Conditioner; Driver Airbag; Passenger Airbag; Automatic Climate Control; Alloy Wheels; Multi-function Steering Wheel
